,Loss_State_Space
7754,[0.6015931367874146]
7755,[0.012268959544599056]
7756,[0.018375298008322716]
7757,[0.2298126369714737]
7758,[0.060930170118808746]
7759,[0.08361712098121643]
7760,[0.05267952010035515]
7761,[0.019447002559900284]
7762,[0.8933501839637756]
7763,[0.04600469395518303]
7764,[0.5375471115112305]
7765,[0.01573348417878151]
7766,[0.23518253862857819]
7767,[0.027371270582079887]
7768,[0.23988695442676544]
7769,[2.5447235107421875]
7770,[0.06621779501438141]
7771,[0.29111260175704956]
7772,[0.0470539890229702]
7773,[0.010986496694386005]
7774,[0.011381493881344795]
7775,[0.017533186823129654]
7776,[0.14286674559116364]
7777,[0.007412376813590527]
7778,[0.04128875955939293]
7779,[0.32309257984161377]
7780,[0.0077038840390741825]
7781,[0.057641997933387756]
7782,[0.047305479645729065]
7783,[0.2413780689239502]
7784,[0.020030755549669266]
7785,[0.07816395163536072]
7786,[0.0996970608830452]
7787,[0.19174036383628845]
7788,[0.028042346239089966]
7789,[0.044361378997564316]
7790,[0.03620823100209236]
7791,[0.07045315951108932]
7792,[0.04891122877597809]
7793,[0.02951156534254551]
7794,[0.008692457340657711]
7795,[0.014709601178765297]
7796,[0.04385317116975784]
7797,[0.0028118514455854893]
7798,[0.007123695686459541]
7799,[0.02310863696038723]
7800,[0.013933498412370682]
7801,[0.005688115954399109]
7802,[0.043783098459243774]
7803,[0.006098954938352108]
7804,[0.011866556480526924]
7805,[0.08115662634372711]
7806,[0.002960476092994213]
7807,[0.011604993604123592]
7808,[0.09504058212041855]
7809,[0.004642779007554054]
7810,[0.020091325044631958]
7811,[0.004576456267386675]
7812,[0.008023200556635857]
7813,[3.5475265979766846]
7814,[0.02889874018728733]
7815,[0.1530405730009079]
7816,[0.02291841246187687]
7817,[0.07327206432819366]
7818,[0.017371298745274544]
7819,[0.02298683673143387]
7820,[0.0593135766685009]
7821,[0.040080439299345016]
7822,[0.6768160462379456]
7823,[0.015033894218504429]
7824,[3.7082033157348633]
7825,[3.0001275539398193]
7826,[0.18917633593082428]
7827,[0.10028425604104996]
7828,[0.1648297756910324]
7829,[0.29826590418815613]
7830,[0.07412105798721313]
7831,[2.2566657066345215]
7832,[0.0217153187841177]
7833,[0.01778947189450264]
7834,[0.053550444543361664]
7835,[0.06762636452913284]
7836,[0.039225511252880096]
7837,[2.930494785308838]
7838,[0.018567128106951714]
7839,[0.0798235684633255]
7840,[0.011263413354754448]
7841,[0.28750571608543396]
7842,[0.021592842414975166]
7843,[0.024340946227312088]
7844,[0.06579162180423737]
7845,[0.1730584353208542]
7846,[0.05029413104057312]
7847,[0.02729489840567112]
7848,[0.026679450646042824]
7849,[9.779747009277344]
7850,[0.7826152443885803]
7851,[1.684330940246582]
7852,[0.07224729657173157]
7853,[0.05209782347083092]
7854,[1.2466641664505005]
7855,[0.009274786338210106]
7856,[0.029691874980926514]
7857,[0.05113789439201355]
7858,[0.07224097847938538]
7859,[0.026683516800403595]
7860,[0.444314569234848]
7861,[0.029932521283626556]
7862,[1.6546226739883423]
7863,[0.036540865898132324]
7864,[0.06249574199318886]
7865,[0.03153558820486069]
7866,[0.41399601101875305]
7867,[1.2942434549331665]
7868,[0.06491424888372421]
7869,[0.05045419931411743]
7870,[0.21496130526065826]
7871,[0.03911585360765457]
7872,[0.4051399827003479]
7873,[0.006578314118087292]
7874,[1.7536280155181885]
7875,[0.41282108426094055]
7876,[0.05604412034153938]
7877,[0.5534102916717529]
7878,[0.46459031105041504]
7879,[0.06277067214250565]
7880,[0.03130265325307846]
7881,[0.17676056921482086]
7882,[0.09631834179162979]
7883,[0.13881048560142517]
7884,[0.17043448984622955]
7885,[0.21950899064540863]
7886,[0.06016727164387703]
7887,[0.6126248836517334]
7888,[0.004063013009727001]
7889,[0.06261269003152847]
7890,[0.1220204308629036]
7891,[0.018724851310253143]
7892,[0.03587128967046738]
7893,[0.2905678153038025]
7894,[0.030201047658920288]
7895,[0.015332912094891071]
7896,[0.01885860413312912]
7897,[0.020863667130470276]
7898,[0.022532090544700623]
7899,[4.178539752960205]
7900,[0.11267729848623276]
7901,[0.07182158529758453]
7902,[0.07390257716178894]
7903,[0.15215615928173065]
7904,[0.03871699422597885]
7905,[0.028307199478149414]
7906,[0.04479954391717911]
7907,[0.485670268535614]
7908,[0.030428096652030945]
7909,[0.006310019642114639]
7910,[0.1239432543516159]
7911,[0.5085715055465698]
7912,[0.04139964282512665]
7913,[0.016018033027648926]
7914,[0.006580043118447065]
7915,[0.01362306997179985]
7916,[0.05394573137164116]
7917,[0.17032435536384583]
7918,[0.10865586251020432]
7919,[0.011489495635032654]
7920,[0.016889672726392746]
7921,[0.07860946655273438]
7922,[0.03050001710653305]
7923,[0.07313830405473709]
7924,[0.032256901264190674]
7925,[0.05338433012366295]
7926,[0.3878399729728699]
7927,[0.005406694021075964]
7928,[0.033349230885505676]
7929,[0.022000126540660858]
7930,[0.010800221934914589]
7931,[0.00655234744772315]
7932,[2.665501832962036]
7933,[0.046552326530218124]
7934,[0.011167307384312153]
7935,[0.030000552535057068]
7936,[0.1287103146314621]
7937,[0.10831932723522186]
7938,[0.002937127836048603]
7939,[0.12963709235191345]
7940,[0.14942137897014618]
7941,[0.0033864895813167095]
7942,[0.008418290875852108]
7943,[0.03371749073266983]
7944,[7.419227600097656]
7945,[0.014618346467614174]
7946,[0.0799560546875]
7947,[0.014547400176525116]
7948,[0.10279328376054764]
7949,[0.5370421409606934]
7950,[0.008217587135732174]
7951,[0.39232346415519714]
7952,[1.0757399797439575]
7953,[0.4575585126876831]
7954,[0.05098404362797737]
7955,[0.048822179436683655]
7956,[0.016417648643255234]
7957,[0.017712309956550598]
7958,[0.09506968408823013]
7959,[0.016452858224511147]
7960,[0.04297748953104019]
7961,[0.10016531497240067]
7962,[0.056086327880620956]
7963,[0.04711056873202324]
7964,[0.014598139561712742]
7965,[0.022817058488726616]
7966,[0.04396180063486099]
7967,[0.0645439550280571]
7968,[0.017539015039801598]
7969,[0.06428025662899017]
7970,[0.05301900953054428]
7971,[0.008538156747817993]
7972,[28.43561553955078]
7973,[0.25235480070114136]
7974,[0.07367690652608871]
7975,[0.03355392813682556]
7976,[0.03903745487332344]
7977,[0.15600402653217316]
7978,[0.7208396196365356]
7979,[0.18102657794952393]
7980,[0.15962572395801544]
7981,[0.07181566953659058]
7982,[0.7201647162437439]
7983,[0.07036534696817398]
7984,[0.033614933490753174]
7985,[0.2339431345462799]
7986,[0.02998431771993637]
7987,[1.253715991973877]
7988,[0.13265244662761688]
7989,[0.024590687826275826]
7990,[0.0066106682643294334]
7991,[0.488831102848053]
7992,[0.1165773794054985]
7993,[0.008282104507088661]
7994,[0.9472219347953796]
7995,[0.07327599078416824]
7996,[0.135105162858963]
7997,[0.10328555852174759]
7998,[0.022557858377695084]
7999,[0.04551735520362854]
8000,[2.182849884033203]
8001,[0.2772271931171417]
8002,[0.3165433406829834]
8003,[12.519377708435059]
8004,[3.120971441268921]
8005,[0.015706470236182213]
8006,[0.024942539632320404]
8007,[2.81912899017334]
8008,[0.26412397623062134]
8009,[2.0548148155212402]
8010,[0.5648583173751831]
8011,[0.09154804050922394]
8012,[0.376945823431015]
8013,[0.2840784788131714]
8014,[0.14278176426887512]
8015,[0.3138764500617981]
8016,[2.915285110473633]
8017,[0.6633355617523193]
8018,[0.04268999397754669]
8019,[0.6730104088783264]
8020,[0.06101078540086746]
8021,[0.157614067196846]
8022,[0.6854639053344727]
8023,[9.348381996154785]
8024,[0.8583380579948425]
8025,[0.004675360396504402]
8026,[0.14939123392105103]
8027,[0.022143837064504623]
8028,[0.5980145931243896]
8029,[0.33488476276397705]
8030,[0.14816826581954956]
8031,[0.46481460332870483]
8032,[2.068159580230713]
8033,[0.32492291927337646]
8034,[0.055041924118995667]
8035,[0.025872904807329178]
8036,[0.17645159363746643]
8037,[0.11031836271286011]
8038,[0.07066074013710022]
8039,[0.0628642812371254]
8040,[0.14320363104343414]
8041,[0.19565416872501373]
8042,[0.05726039037108421]
8043,[0.07667893171310425]
8044,[0.11828047782182693]
8045,[0.011712578125298023]
8046,[0.04051217436790466]
8047,[0.772341251373291]
8048,[0.1764541119337082]
8049,[0.6098704934120178]
8050,[0.22946782410144806]
8051,[0.02808154746890068]
8052,[0.014506897889077663]
8053,[0.035395629703998566]
8054,[0.03160225600004196]
8055,[0.13032503426074982]
8056,[0.11611363291740417]
8057,[0.021203869953751564]
8058,[0.005662464536726475]
8059,[0.027033772319555283]
8060,[0.03585977107286453]
8061,[0.00473751500248909]
8062,[0.007762452121824026]
8063,[0.005618263967335224]
8064,[0.2818140983581543]
8065,[0.032651111483573914]
8066,[0.02533346600830555]
8067,[0.04736141487956047]
8068,[0.03269373998045921]
8069,[0.012659085914492607]
8070,[0.5992622375488281]
8071,[0.0668177604675293]
8072,[0.2545948028564453]
8073,[0.13037462532520294]
8074,[0.37044134736061096]
8075,[0.015603747218847275]
8076,[0.052785273641347885]
8077,[0.06819409877061844]
8078,[0.006662307307124138]
8079,[0.00908809807151556]
8080,[0.01934206485748291]
8081,[0.03529306873679161]
8082,[0.09594523906707764]
8083,[0.06572408229112625]
8084,[0.009673518128693104]
8085,[0.03023851476609707]
8086,[0.011045744642615318]
8087,[0.014998607337474823]
8088,[0.041225358843803406]
8089,[1.398603081703186]
8090,[0.13457588851451874]
8091,[0.0186271071434021]
8092,[0.74976646900177]
8093,[0.021255481988191605]
8094,[0.019931238144636154]
8095,[0.023323388770222664]
8096,[0.041875507682561874]
8097,[0.034406330436468124]
8098,[0.005424156319350004]
8099,[0.004690240137279034]
8100,[0.00693932082504034]
8101,[0.06866376101970673]
8102,[0.024986976757645607]
8103,[0.007709456142038107]
8104,[0.007924877107143402]
8105,[0.048560988157987595]
8106,[0.04448549449443817]
8107,[0.04517250135540962]
8108,[6.728394985198975]
8109,[0.010002904571592808]
8110,[0.012296507135033607]
8111,[0.2137235403060913]
8112,[0.004946195054799318]
8113,[0.004549464210867882]
8114,[0.0374353863298893]
8115,[0.5640630125999451]
8116,[0.04223101586103439]
8117,[0.13436725735664368]
8118,[0.3049990236759186]
8119,[15.336499214172363]
8120,[0.12666283547878265]
8121,[0.01592671126127243]
8122,[4.797703266143799]
8123,[1.2704684734344482]
8124,[0.4942110776901245]
8125,[0.8802247643470764]
8126,[0.007342147640883923]
8127,[0.11144468188285828]
8128,[0.00519193708896637]
8129,[0.023362454026937485]
8130,[1.6520957946777344]
8131,[0.04441700130701065]
8132,[0.11939096450805664]
8133,[0.8548880815505981]
8134,[0.01973535306751728]
8135,[0.11431288719177246]
8136,[0.14036308228969574]
8137,[0.24333661794662476]
8138,[0.05044811964035034]
8139,[0.019472798332571983]
8140,[0.2008068710565567]
8141,[0.012987308204174042]
8142,[0.08651222288608551]
8143,[0.253349632024765]
8144,[0.19222389161586761]
8145,[0.13709378242492676]
8146,[1.9378137588500977]
8147,[0.031122149899601936]
8148,[8.132848739624023]
8149,[0.055322811007499695]
8150,[0.00936934445053339]
8151,[0.12072446942329407]
8152,[0.008346082642674446]
8153,[0.017876990139484406]
8154,[0.1102256029844284]
8155,[0.007495576050132513]
8156,[0.011793351732194424]
8157,[0.0018134202109649777]
8158,[0.021115951240062714]
8159,[0.01871664449572563]
8160,[0.07601507008075714]
8161,[0.01109323464334011]
8162,[0.010861922055482864]
8163,[0.013989354483783245]
8164,[0.002101744757965207]
8165,[0.05539461970329285]
8166,[0.08789443969726562]
8167,[0.4652014672756195]
8168,[0.030285270884633064]
8169,[0.05594383180141449]
8170,[0.00451064994558692]
8171,[0.002651094924658537]
8172,[0.09344030916690826]
8173,[0.18998441100120544]
8174,[0.009595238603651524]
8175,[0.13919156789779663]
8176,[0.011419362388551235]
8177,[0.057320576161146164]
8178,[0.011430651880800724]
8179,[0.004151188302785158]
8180,[0.059064313769340515]
8181,[0.29778385162353516]
8182,[0.027234558016061783]
8183,[0.004214633256196976]
8184,[0.004849263466894627]
8185,[0.09359581768512726]
8186,[0.09674688428640366]
8187,[0.019903939217329025]
8188,[0.09580027312040329]
8189,[0.08965765684843063]
8190,[0.0125495670363307]
8191,[0.05657246708869934]
8192,[0.021583592519164085]
8193,[0.14092545211315155]
8194,[0.012563008815050125]
8195,[0.0835859477519989]
8196,[0.2567850947380066]
8197,[0.004634016193449497]
8198,[0.015261621214449406]
8199,[0.0020144288428127766]
8200,[0.04049740359187126]
8201,[0.003497716272249818]
8202,[0.013056876137852669]
8203,[0.01587253250181675]
8204,[0.003185044275596738]
8205,[0.06639587134122849]
8206,[0.10396891832351685]
8207,[0.12436384707689285]
8208,[0.11818692088127136]
8209,[0.06434210389852524]
8210,[0.006848372519016266]
8211,[0.009503981098532677]
8212,[0.03319798782467842]
8213,[0.0029292814433574677]
8214,[0.03715306520462036]
8215,[18.930973052978516]
8216,[0.024874361231923103]
8217,[10.063922882080078]
8218,[0.21226972341537476]
8219,[0.22459189593791962]
8220,[0.3223758637905121]
8221,[0.0042473748326301575]
8222,[0.1427784413099289]
8223,[0.00996617041528225]
8224,[0.1543513983488083]
8225,[0.3011135756969452]
8226,[0.1758730709552765]
8227,[0.7164235711097717]
8228,[0.21872562170028687]
8229,[1.7417097091674805]
8230,[0.11085019260644913]
8231,[2.1656839847564697]
8232,[0.04318118095397949]
8233,[0.04423415660858154]
8234,[0.9854862689971924]
8235,[0.017103079706430435]
8236,[0.07345707714557648]
8237,[0.010786007158458233]
8238,[0.8301477432250977]
8239,[0.06425599008798599]
8240,[0.5288060307502747]
8241,[0.006110737100243568]
8242,[0.3242146670818329]
8243,[0.13337178528308868]
8244,[0.1872691512107849]
8245,[0.3476185202598572]
8246,[0.4396378993988037]
8247,[0.11824120581150055]
8248,[0.015986047685146332]
8249,[0.011536650359630585]
8250,[0.055196281522512436]
8251,[0.2156352549791336]
8252,[0.07417077571153641]
8253,[0.29835596680641174]
8254,[0.05967705324292183]
8255,[0.06191067770123482]
8256,[0.13566341996192932]
8257,[0.054131969809532166]
8258,[0.035974327474832535]
8259,[0.01313063409179449]
8260,[0.3379824161529541]
8261,[0.12755443155765533]
8262,[0.6104577779769897]
8263,[0.0345069095492363]
8264,[0.02652311697602272]
8265,[0.6289116740226746]
8266,[0.027440927922725677]
8267,[0.0065593416802585125]
8268,[0.30290019512176514]
8269,[0.02409166656434536]
8270,[0.010895230807363987]
8271,[0.032207779586315155]
8272,[0.0065932320430874825]
8273,[27.373615264892578]
8274,[0.05236826837062836]
8275,[0.7286657094955444]
8276,[0.13565385341644287]
8277,[0.07546763122081757]
8278,[2.4340808391571045]
8279,[0.6317816376686096]
8280,[0.16830500960350037]
8281,[0.012542488053441048]
8282,[0.005762992426753044]
8283,[0.7189754247665405]
8284,[0.2551857531070709]
8285,[0.007630839943885803]
8286,[0.8252884149551392]
8287,[0.3605610430240631]
8288,[0.070586659014225]
8289,[1.366899847984314]
8290,[0.008553453721106052]
8291,[0.044089317321777344]
8292,[0.5023928284645081]
8293,[0.14231382310390472]
8294,[3.4754409790039062]
8295,[0.020535212010145187]
8296,[0.17036308348178864]
8297,[7.28026008605957]
8298,[0.020830756053328514]
8299,[0.19194090366363525]
8300,[0.360887348651886]
8301,[0.09107852727174759]
8302,[0.03894498571753502]
8303,[0.07493706047534943]
8304,[0.12805116176605225]
8305,[0.33451759815216064]
8306,[0.03490392118692398]
8307,[0.0409579835832119]
8308,[0.22751778364181519]
8309,[0.011754404753446579]
8310,[0.49560636281967163]
8311,[0.15614642202854156]
8312,[0.02403307892382145]
8313,[0.007234427146613598]
8314,[0.4027506411075592]
8315,[0.09245315194129944]
8316,[0.03834064304828644]
8317,[0.01657126471400261]
8318,[2.3413381576538086]
8319,[0.09540391713380814]
8320,[0.03640720993280411]
8321,[0.039377134293317795]
8322,[0.04457388073205948]
8323,[0.23915769159793854]
8324,[0.027866065502166748]
8325,[0.09023578464984894]
8326,[0.305278480052948]
8327,[0.4852001368999481]
8328,[1.9130067825317383]
8329,[0.10808282345533371]
8330,[0.07775913178920746]
8331,[0.28180792927742004]
8332,[0.009339195676147938]
8333,[0.03304862976074219]
8334,[0.584630012512207]
8335,[0.004349779337644577]
8336,[0.026404645293951035]
8337,[0.018868494778871536]
8338,[0.045568838715553284]
8339,[0.014256677590310574]
8340,[0.10400530695915222]
8341,[0.08216365426778793]
8342,[0.006860740017145872]
8343,[0.05369109660387039]
8344,[0.021402277052402496]
8345,[0.03226884454488754]
8346,[0.07466290891170502]
8347,[0.0228151623159647]
8348,[0.13409431278705597]
8349,[0.010317818261682987]
8350,[0.020202375948429108]
8351,[0.010211381129920483]
8352,[0.00707745086401701]
8353,[0.00895894318819046]
8354,[0.03052493743598461]
8355,[0.07324391603469849]
8356,[0.1362825334072113]
8357,[0.005908775608986616]
8358,[0.005451594479382038]
8359,[0.00496789300814271]
8360,[0.02993716299533844]
8361,[0.015567127615213394]
8362,[0.0438053123652935]
8363,[0.011324468068778515]
8364,[0.013438211753964424]
8365,[0.012449199333786964]
8366,[0.013121276162564754]
8367,[0.0961378663778305]
8368,[0.018636997789144516]
8369,[0.008148017339408398]
8370,[0.020891407504677773]
8371,[0.009071589447557926]
8372,[0.012393003329634666]
8373,[0.006114446558058262]
8374,[0.00476351473480463]
8375,[0.017114738002419472]
8376,[0.020482072606682777]
8377,[0.008386091329157352]
8378,[1.3501235246658325]
8379,[0.007455897983163595]
8380,[0.01493307575583458]
8381,[0.003207938279956579]
8382,[0.05182104557752609]
8383,[0.077247753739357]
8384,[0.006097049452364445]
8385,[0.02639012038707733]
8386,[0.006272530648857355]
8387,[2.6489195823669434]
8388,[0.010613497346639633]
8389,[0.04101172089576721]
8390,[0.0056106923148036]
8391,[1.0358301401138306]
8392,[0.027487613260746002]
8393,[0.3507096469402313]
8394,[0.09045062214136124]
8395,[0.04423433914780617]
8396,[0.002971058711409569]
8397,[0.5944454669952393]
8398,[0.6574721932411194]
8399,[0.124843530356884]
8400,[0.2666528522968292]
8401,[0.010617310181260109]
8402,[0.006292915903031826]
8403,[0.017640748992562294]
8404,[0.037517890334129333]
8405,[0.01125198695808649]
8406,[0.005250643473118544]
8407,[0.1134878545999527]
8408,[0.007050771731883287]
8409,[0.007266382686793804]
8410,[0.010410728864371777]
8411,[0.0218577329069376]
8412,[0.22143565118312836]
8413,[0.004943761043250561]
8414,[0.009528115391731262]
8415,[0.20287765562534332]
8416,[0.0024666532408446074]
8417,[0.004596802406013012]
8418,[0.002299409592524171]
8419,[0.011017488315701485]
8420,[0.0014688235241919756]
8421,[0.15689882636070251]
8422,[17.911754608154297]
8423,[0.455465167760849]
8424,[0.009758815169334412]
8425,[0.020535100251436234]
8426,[0.4283931255340576]
8427,[0.7483001947402954]
8428,[0.02955208346247673]
8429,[0.12309199571609497]
8430,[0.05882911756634712]
8431,[0.02076798491179943]
8432,[0.8379690647125244]
8433,[0.04776088148355484]
8434,[1.8068302869796753]
8435,[0.5782098770141602]
8436,[8.524373054504395]
8437,[0.9866893291473389]
8438,[0.005827608518302441]
8439,[2.3221802711486816]
8440,[0.6246069073677063]
8441,[0.2960846722126007]
8442,[17.803955078125]
8443,[0.23656708002090454]
8444,[0.23446281254291534]
8445,[0.021537667140364647]
8446,[0.9354477524757385]
8447,[0.006275171879678965]
8448,[0.15188589692115784]
8449,[0.010039528831839561]
8450,[0.013651417568325996]
8451,[0.27580878138542175]
8452,[0.005909126717597246]
8453,[0.024287618696689606]
8454,[0.01122128963470459]
8455,[0.03213142603635788]
8456,[0.26919275522232056]
8457,[0.8283717036247253]
8458,[0.017483748495578766]
8459,[0.02059478685259819]
8460,[0.0024561616592109203]
8461,[0.004952688701450825]
8462,[0.0900367945432663]
8463,[0.02651730179786682]
8464,[1.65122389793396]
8465,[0.10989539325237274]
8466,[0.9371777176856995]
8467,[0.005346799269318581]
8468,[0.0816878229379654]
8469,[0.004457298666238785]
8470,[0.19906654953956604]
8471,[0.25148844718933105]
8472,[0.014699341729283333]
8473,[0.0028236755169928074]
8474,[0.05721093341708183]
8475,[0.032220788300037384]
8476,[0.028054023161530495]
8477,[0.008555609732866287]
8478,[0.011412624269723892]
8479,[0.2628192901611328]
8480,[0.012320663779973984]
8481,[0.017054777592420578]
8482,[1.062306523323059]
8483,[0.461609810590744]
8484,[0.01757875084877014]
8485,[0.07381683588027954]
8486,[0.05786783620715141]
8487,[0.09894266724586487]
8488,[0.08861608803272247]
8489,[0.04652955010533333]
8490,[0.14133377373218536]
8491,[0.00898701697587967]
8492,[0.07894019037485123]
8493,[0.013398596085608006]
8494,[0.12443667650222778]
8495,[0.0361105278134346]
8496,[3.2045938968658447]
8497,[0.0037329632323235273]
8498,[0.0065959133207798]
8499,[0.07571397721767426]
8500,[0.0109642893075943]
8501,[0.07182128727436066]
8502,[0.022895030677318573]
8503,[0.024645254015922546]
8504,[0.03307832404971123]
8505,[0.010683692060410976]
8506,[0.07431495934724808]
8507,[0.010479354299604893]
8508,[0.24589988589286804]
8509,[0.08798041939735413]
8510,[0.009094279259443283]
8511,[0.0031678611412644386]
8512,[0.04500257968902588]
8513,[0.014819866046309471]
8514,[0.014369150623679161]
8515,[0.017405744642019272]
8516,[0.2877817749977112]
8517,[0.02821381762623787]
8518,[0.023459769785404205]
8519,[15.64901065826416]
8520,[0.08518336713314056]
8521,[0.08626846224069595]
8522,[0.05567362532019615]
8523,[0.07709861546754837]
8524,[0.010769445449113846]
8525,[0.3231351375579834]
8526,[0.16457468271255493]
8527,[0.08592690527439117]
8528,[0.7016940712928772]
8529,[0.6275790333747864]
8530,[1.8923975229263306]
8531,[0.31017786264419556]
8532,[0.17233595252037048]
8533,[1.0069997310638428]
8534,[0.3626105785369873]
8535,[0.031851910054683685]
8536,[0.06527198851108551]
8537,[0.3395312428474426]
8538,[0.04362480342388153]
8539,[0.15439414978027344]
8540,[0.1462956666946411]
8541,[0.2863919734954834]
8542,[0.16557282209396362]
8543,[0.03487413749098778]
8544,[1.0251893997192383]
8545,[0.49403050541877747]
8546,[0.2625132203102112]
8547,[0.9576207399368286]
8548,[0.08236895501613617]
8549,[0.02183738350868225]
8550,[0.025351587682962418]
8551,[0.06932840496301651]
8552,[0.05617431551218033]
8553,[0.02900506742298603]
8554,[0.008307283744215965]
8555,[0.011808994226157665]
8556,[0.035730279982089996]
8557,[0.01449643075466156]
8558,[0.021897532045841217]
8559,[0.07692776620388031]
8560,[0.10482576489448547]
8561,[0.07465031743049622]
8562,[0.010648105293512344]
8563,[0.5338364839553833]
8564,[0.015264330431818962]
8565,[0.2924721837043762]
8566,[0.005513384472578764]
8567,[0.021011415868997574]
8568,[0.011520219035446644]
8569,[0.05236884951591492]
8570,[0.07971407473087311]
8571,[1.2011557817459106]
8572,[0.17904603481292725]
8573,[0.12786856293678284]
8574,[0.10520496219396591]
8575,[0.06360102444887161]
8576,[0.035398952662944794]
8577,[0.05775801092386246]
8578,[0.0197744220495224]
8579,[0.05306655913591385]
8580,[0.08673873543739319]
8581,[0.09241726249456406]
8582,[0.022393617779016495]
8583,[0.02959410846233368]
8584,[0.3417811095714569]
8585,[0.03321710601449013]
8586,[0.16111713647842407]
8587,[0.13373208045959473]
8588,[0.06961870193481445]
8589,[0.005404176190495491]
8590,[0.11060984432697296]
8591,[0.056486520916223526]
8592,[0.010054200887680054]
8593,[0.01579660177230835]
8594,[0.6910869479179382]
8595,[0.023655671626329422]
8596,[3.8725955486297607]
8597,[0.007088495884090662]
8598,[0.03687525540590286]
8599,[0.21637532114982605]
8600,[0.013391303829848766]
8601,[0.10335129499435425]
8602,[0.011751995421946049]
8603,[0.6168907284736633]
8604,[0.027788596227765083]
8605,[0.1973300576210022]
8606,[0.04497995972633362]
8607,[0.04932524263858795]
8608,[0.0737469419836998]
8609,[0.04337054491043091]
8610,[0.00829249620437622]
8611,[0.008354613557457924]
8612,[0.07374443113803864]
8613,[0.0405752994120121]
8614,[0.03021390549838543]
8615,[0.09604357182979584]
8616,[0.042883485555648804]
8617,[0.03849135339260101]
8618,[0.056720711290836334]
8619,[0.01837693527340889]
8620,[0.018988702446222305]
8621,[0.017432838678359985]
8622,[0.03299005329608917]
8623,[0.0030148623045533895]
8624,[0.06881661713123322]
8625,[0.0554710328578949]
8626,[0.028549397364258766]
8627,[0.009059170261025429]
8628,[0.006343204993754625]
8629,[0.004785743076354265]
8630,[0.03403499349951744]
8631,[0.0031764432787895203]
8632,[0.04611607640981674]
8633,[0.007038249634206295]
8634,[1.9406538009643555]
8635,[1.2363829612731934]
8636,[0.1059078648686409]
8637,[0.07649090886116028]
8638,[0.18809130787849426]
8639,[0.0918702632188797]
8640,[0.006708554923534393]
8641,[0.019028445705771446]
8642,[0.1946553885936737]
8643,[0.03289485722780228]
8644,[0.678080141544342]
8645,[0.21034151315689087]
8646,[0.5530892610549927]
8647,[3.726688861846924]
8648,[0.1325342059135437]
8649,[0.02046322636306286]
8650,[0.05534835159778595]
8651,[0.6447924375534058]
8652,[0.023023951798677444]
8653,[0.016881659626960754]
8654,[0.0865081250667572]
8655,[0.3327839970588684]
8656,[0.013448726385831833]
8657,[0.04571619629859924]
8658,[0.24786710739135742]
8659,[0.05414701625704765]
8660,[0.06704756617546082]
8661,[0.1489245742559433]
8662,[0.26087406277656555]
8663,[0.07304928451776505]
8664,[0.24621185660362244]
8665,[0.07925409078598022]
8666,[0.012057498097419739]
8667,[0.06651586294174194]
8668,[0.10284259915351868]
8669,[0.041250430047512054]
8670,[0.12066441029310226]
8671,[0.004571127705276012]
8672,[0.06364850699901581]
8673,[0.018124010413885117]
8674,[0.051776111125946045]
8675,[0.032404929399490356]
8676,[0.1786298155784607]
8677,[0.031006576493382454]
8678,[0.07768329977989197]
8679,[0.058593202382326126]
8680,[0.09335223585367203]
8681,[0.0021599256433546543]
8682,[0.014017099514603615]
8683,[0.0025649454910308123]
8684,[0.07141175866127014]
8685,[0.003024916397407651]
8686,[0.010961756110191345]
8687,[0.004837948828935623]
8688,[0.19156141579151154]
8689,[0.08662674576044083]
8690,[0.23019585013389587]
8691,[0.009343218989670277]
8692,[0.09146323800086975]
8693,[0.021960344165563583]
8694,[0.27570539712905884]
8695,[0.046029720455408096]
8696,[0.00753409881144762]
8697,[0.01260350551456213]
8698,[0.01213927660137415]
8699,[0.003295471193268895]
8700,[0.011751223355531693]
8701,[0.035632967948913574]
8702,[0.013518027029931545]
8703,[0.008068130351603031]
8704,[0.010826289653778076]
8705,[0.008374126628041267]
8706,[0.00372731382958591]
8707,[0.092132568359375]
8708,[0.2978723645210266]
8709,[0.04055718332529068]
8710,[0.1075284332036972]
8711,[0.1612747609615326]
8712,[0.01854533515870571]
8713,[0.023286987096071243]
8714,[0.007317239418625832]
8715,[0.010034591890871525]
8716,[0.006897275801748037]
8717,[0.012349377386271954]
8718,[0.1575898677110672]
8719,[0.047355908900499344]
8720,[0.002247218042612076]
8721,[0.008425851352512836]
8722,[0.005043633282184601]
8723,[0.08090148121118546]
8724,[0.021202709525823593]
8725,[0.026693139225244522]
8726,[0.10937927663326263]
8727,[0.025568675249814987]
8728,[2.5732603073120117]
8729,[2.0073630809783936]
8730,[0.042735930532217026]
8731,[0.43716171383857727]
8732,[0.006300308275967836]
8733,[0.05486460030078888]
8734,[1.472846508026123]
8735,[0.14591935276985168]
8736,[0.012154493480920792]
8737,[0.003562378929927945]
8738,[0.04991734027862549]
8739,[0.006289328448474407]
8740,[0.011791306547820568]
8741,[0.018868979066610336]
8742,[0.1011253222823143]
8743,[0.23595015704631805]
8744,[0.015514024533331394]
8745,[0.9693509936332703]
8746,[0.034626103937625885]
8747,[0.3866144120693207]
8748,[0.01608904078602791]
8749,[0.031106747686862946]
8750,[0.17192783951759338]
8751,[0.3445682227611542]
8752,[0.0793442651629448]
8753,[0.028656378388404846]
8754,[0.021678278222680092]
