,Loss_State_Space
268,[154.84759521484375]
269,[158.03662109375]
270,[82.8013916015625]
271,[78.32174682617188]
272,[43.17475891113281]
273,[174.1397705078125]
274,[92.68904113769531]
275,[88.10806274414062]
276,[118.00997161865234]
277,[199.82073974609375]
278,[94.02279663085938]
279,[42.1876335144043]
280,[104.97062683105469]
281,[131.29104614257812]
282,[73.64544677734375]
283,[105.869140625]
284,[126.99324035644531]
285,[71.67059326171875]
286,[118.8280029296875]
287,[167.35153198242188]
288,[64.65591430664062]
289,[128.1787109375]
290,[102.36945343017578]
291,[79.28589630126953]
292,[96.6616439819336]
293,[116.21124267578125]
294,[61.71355438232422]
295,[83.6714096069336]
296,[101.68485260009766]
297,[68.60896301269531]
298,[72.07608795166016]
299,[74.44606018066406]
300,[71.26102447509766]
301,[119.2269287109375]
302,[151.41795349121094]
303,[114.37803649902344]
304,[129.91177368164062]
305,[89.0171127319336]
306,[106.33392333984375]
307,[150.57476806640625]
308,[121.86345672607422]
309,[58.82014083862305]
310,[52.8128662109375]
311,[170.4148406982422]
312,[39.746124267578125]
313,[59.07440948486328]
314,[113.38040924072266]
315,[56.655487060546875]
316,[155.47683715820312]
317,[63.54779052734375]
318,[78.24833679199219]
319,[60.56000518798828]
320,[73.99021911621094]
321,[112.47409057617188]
322,[151.33937072753906]
323,[120.11369323730469]
324,[133.78599548339844]
325,[50.03491973876953]
326,[71.57412719726562]
327,[86.09161376953125]
328,[102.5199203491211]
329,[101.3657455444336]
330,[47.5887451171875]
331,[70.54647064208984]
332,[38.07559585571289]
333,[96.13195037841797]
334,[83.0032958984375]
335,[126.65906524658203]
336,[92.05902862548828]
337,[69.2535629272461]
338,[55.335601806640625]
339,[52.10751724243164]
340,[80.71728515625]
341,[55.67713928222656]
342,[68.53782653808594]
343,[42.348167419433594]
344,[42.32752990722656]
345,[113.16188049316406]
346,[85.63964080810547]
347,[55.91297912597656]
348,[29.555015563964844]
349,[51.021148681640625]
350,[73.85328674316406]
351,[37.657325744628906]
352,[84.96060943603516]
353,[29.977022171020508]
354,[127.66690826416016]
355,[38.76752853393555]
356,[112.84968566894531]
357,[92.42155456542969]
358,[35.256080627441406]
359,[80.83564758300781]
360,[78.1820068359375]
361,[96.78160095214844]
362,[54.576377868652344]
363,[58.83574676513672]
364,[25.771175384521484]
365,[40.747535705566406]
366,[92.0464096069336]
367,[64.40410614013672]
368,[59.42353057861328]
369,[33.460330963134766]
370,[86.57456970214844]
371,[83.74073791503906]
372,[70.7979736328125]
373,[47.87908172607422]
374,[30.779083251953125]
375,[22.756847381591797]
376,[38.110137939453125]
377,[13.988739013671875]
378,[17.391315460205078]
379,[38.529109954833984]
380,[32.86138916015625]
381,[29.507694244384766]
382,[84.43888854980469]
383,[57.75398254394531]
384,[11.253498077392578]
385,[22.136253356933594]
386,[64.96638488769531]
387,[20.09819793701172]
388,[36.90435791015625]
389,[18.354103088378906]
390,[26.950481414794922]
391,[26.720584869384766]
392,[59.455177307128906]
393,[37.503196716308594]
394,[36.06869888305664]
395,[67.25990295410156]
396,[37.4572639465332]
397,[28.34217071533203]
398,[22.355669021606445]
399,[23.369415283203125]
400,[59.720882415771484]
401,[34.855037689208984]
402,[32.7960319519043]
403,[65.52481079101562]
404,[15.61231803894043]
405,[31.914270401000977]
406,[39.24015808105469]
407,[51.49164581298828]
408,[67.65840148925781]
409,[27.05105209350586]
410,[35.388580322265625]
411,[20.32608413696289]
412,[18.465200424194336]
413,[25.113422393798828]
414,[30.762853622436523]
415,[28.544692993164062]
416,[44.36747741699219]
417,[26.403095245361328]
418,[19.2529296875]
419,[33.09637451171875]
420,[40.51322937011719]
421,[6.9786834716796875]
422,[26.150724411010742]
423,[22.846750259399414]
424,[47.161598205566406]
425,[22.54033851623535]
426,[14.958139419555664]
427,[7.223627090454102]
428,[10.071516036987305]
429,[13.566045761108398]
430,[12.269625663757324]
431,[59.71082305908203]
432,[37.842994689941406]
433,[52.08238220214844]
434,[31.260805130004883]
435,[29.510883331298828]
436,[12.82556438446045]
437,[66.22502136230469]
438,[29.425119400024414]
439,[34.01355743408203]
440,[38.09668731689453]
441,[50.09421157836914]
442,[33.59785842895508]
443,[11.916166305541992]
444,[24.658687591552734]
445,[25.26755714416504]
446,[78.0745849609375]
447,[8.382295608520508]
448,[36.90372848510742]
449,[50.73424530029297]
450,[31.095186233520508]
451,[82.40789794921875]
452,[64.24415588378906]
453,[9.573389053344727]
454,[33.60025405883789]
455,[36.80601501464844]
456,[12.822283744812012]
457,[8.898872375488281]
458,[39.484527587890625]
459,[20.439434051513672]
460,[22.89711570739746]
461,[17.36227798461914]
462,[44.31684875488281]
463,[19.683189392089844]
464,[17.281274795532227]
465,[11.049424171447754]
466,[8.625602722167969]
467,[36.61228942871094]
468,[16.336267471313477]
469,[31.837867736816406]
470,[29.586624145507812]
471,[48.523033142089844]
472,[31.9141845703125]
473,[46.09117126464844]
474,[15.532278060913086]
475,[11.155332565307617]
476,[20.50774383544922]
477,[21.42166519165039]
478,[14.929128646850586]
479,[8.172301292419434]
480,[7.59343147277832]
481,[30.08118438720703]
482,[30.365936279296875]
483,[55.604766845703125]
484,[33.95630645751953]
485,[7.958252429962158]
486,[39.41534423828125]
487,[2.6770224571228027]
488,[21.732492446899414]
489,[43.2476921081543]
490,[12.581812858581543]
491,[7.949823379516602]
492,[8.885208129882812]
493,[12.331186294555664]
494,[9.62868881225586]
495,[12.469685554504395]
496,[54.91893768310547]
497,[20.812397003173828]
498,[5.802372932434082]
499,[21.428661346435547]
500,[76.35308074951172]
501,[25.901653289794922]
502,[5.26798152923584]
503,[61.56993865966797]
504,[35.9893798828125]
505,[21.56340217590332]
506,[25.280149459838867]
507,[7.461184501647949]
508,[43.948917388916016]
509,[19.422744750976562]
510,[62.37175750732422]
511,[30.003753662109375]
512,[6.987123489379883]
513,[25.39916229248047]
514,[13.401269912719727]
515,[6.666881084442139]
516,[22.21875762939453]
517,[23.749120712280273]
518,[77.13287353515625]
519,[6.79231595993042]
520,[7.917818069458008]
521,[4.690659046173096]
522,[4.272366523742676]
523,[20.16461753845215]
524,[38.364349365234375]
525,[62.924861907958984]
526,[20.771516799926758]
527,[44.69991683959961]
528,[26.697641372680664]
529,[38.039947509765625]
530,[54.891510009765625]
531,[23.39004898071289]
532,[25.231250762939453]
533,[17.690532684326172]
534,[16.771286010742188]
535,[4.464162826538086]
536,[17.16718864440918]
537,[31.626087188720703]
538,[9.328524589538574]
539,[41.10078430175781]
540,[11.905030250549316]
541,[26.015411376953125]
542,[32.40396499633789]
543,[10.244752883911133]
544,[11.368947982788086]
545,[34.90203857421875]
546,[8.93223762512207]
547,[13.613017082214355]
548,[3.9284920692443848]
549,[6.043976783752441]
550,[13.927370071411133]
551,[49.480079650878906]
552,[40.416595458984375]
553,[13.243146896362305]
554,[3.0849497318267822]
555,[15.773929595947266]
556,[13.70444107055664]
557,[5.170033931732178]
558,[9.012718200683594]
559,[3.9352810382843018]
560,[49.74068069458008]
561,[12.204675674438477]
562,[8.717326164245605]
563,[70.90380096435547]
564,[9.193448066711426]
565,[9.141145706176758]
566,[8.492836952209473]
567,[24.103836059570312]
568,[14.397191047668457]
569,[20.079851150512695]
570,[5.44685173034668]
571,[31.320388793945312]
572,[3.3508858680725098]
573,[34.39332580566406]
574,[51.14407730102539]
575,[12.792703628540039]
576,[43.43437576293945]
577,[40.98432540893555]
578,[8.767780303955078]
579,[12.650274276733398]
580,[29.140539169311523]
581,[5.968303680419922]
582,[24.881587982177734]
583,[8.46867561340332]
584,[11.32655143737793]
585,[9.694337844848633]
586,[36.952606201171875]
587,[17.67310333251953]
588,[12.552400588989258]
589,[3.276264190673828]
590,[25.554920196533203]
591,[6.900681018829346]
592,[2.6383726596832275]
593,[3.5655927658081055]
