Cost per episode with eps
-31040.22714384001
-31113.353663039994
-32732.824705799976
-30675.189591440023
-32209.606600239997
-31643.489776560007
-32412.710838400006
-33115.05403488006
-30924.328195080016
-30695.657406480004
-30432.955646640043
-30284.589139399985
-31825.67037159999
-33376.227136640024
-32227.05166208003
-32313.16233980005
-30984.054905759986
-33003.577747040035
-31285.629437520023
-31567.191980359996
-32651.725817520037
-32563.17249328003
-31524.956591800015
-31274.062257520007
-31782.241342079997
-30556.72078068003
-31143.155826920018
-30128.719420960035
-31070.65494867998
-30536.275998480047
-30903.42710400006
-30372.10347932001
-31870.48164300003
-30583.579968600035
-32005.14812336004
-32799.37033308001
-30831.074634720022
-34014.759281759965
-31817.978240879955
-32610.309214200006
-31177.781451279996
-31914.906578359998
-31999.065657400024
-31276.963009759984
-31385.901185400024
-32589.26249628003
-32162.116106000005
-31561.58759136004
-29455.915181439996
-30024.786308520008
-31855.030895520023
-30781.39152195999
-31217.657149599985
-30537.38063076
-29569.66207024003
-31140.963766639994
-32073.347496240003
-31226.540130360012
-32400.55222064004
-31979.07813787999
-31247.005987920023
-30807.965777840025
-31870.0893568
-31333.53097480001
-31301.78462367996
-32313.430362959993
-32028.874225760006
-31876.760541960015
-31976.97099072004
-32686.61196283999
-34363.87772192003
-31756.71632164001
-31217.100631800018
-30901.610493640015
-30949.766913399984
-33591.423368080046
-30870.996043920037
-31525.434104320026
-32328.39123744
-29851.372290240004
-30894.092112360006
-31547.670980040017
-31496.283259080046
-31774.7428338
-31533.225828120005
-30617.993129800016
-30572.41069464002
-30421.716552040038
-30766.176608679998
-32021.388859280032
-31312.250725120026
-30178.104823720012
-32179.80946192001
-31069.855865920028
-30529.91593048002
-31149.221833479998
-31628.583785000013
-30973.103400399996
-31074.97644928004
-30355.215009079984
-31826.102407839997
-31499.61614172004
-30021.04521560002
-32534.71079656001
-31000.293992640014
-31388.53493420002
-31114.649492720022
-30856.699892120025
-29116.893837040046
-31588.604923119983
-30207.398566159976
-30915.625991080004
-31525.70252680001
-31432.96179756001
-30598.212506640022
-31635.477959160024
-32310.93150228003
-31452.529234399994
-31462.899325800026
-30609.35444968003
-32571.134479640015
-32158.486562359976
-31607.21803256001
-31024.24788852003
-31183.985789120026
-30615.75462264004
-31851.321933120016
-30476.58647212005
-31591.657226360003
-31814.4001868
-32287.034840880016
-30049.328753240028
-30604.924833720026
-31038.295216000002
-29263.95823684003
-31342.56876740001
-30698.623276760023
-31744.048811800047
-29665.33689680002
-31479.417652800024
-31801.738630400007
